sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
90,12,Leucoraja circularis,Skate & Cuckoo ray,Sandy skate ,1,EN,0,9.7,0
91,12,Rajella lintea,Skate & Cuckoo ray,Sailray,1,LC,0,11,0
92,14,Gadus morhua,Adult cod,cod,1,VU,1,15,1
93,16,Merlangius merlangus,Adult whiting,north sea whiting ,1,LC,1,11.2,1
94,18,Melanogrammus aeglefinus,Adult haddock,Haddock,1,VU,1,13.2,1
95,20,Pollachius virens,Adult saithe,Saithe,0,NE,1,15.8,1
96,21,Merluccius merluccius,Hake,Hake ,1,LC,1,3,1
97,22,Micromesistius poutassou,Blue whiting,Blue whiting,0,NE,1,11.5,1
98,23,Trisopterus esmarkii,Norway Pout,Norway pout ,1,LC,1,3,1
99,24,Phycis blennoides,Other gadoids (large),greater forkbeard,0,NE,0,5.3,1
100,24,Pollachius pollachius,Other gadoids (large),pollack,1,LC,1,6,1
101,24,Brosme brosme,Other gadoids (large),tusk,0,NE,1,14.5,1
102,24,Molva dypterygia,Other gadoids (large),Blue ling,0,NE,0,11.6,1
103,24,Molva molva,Other gadoids (large),ling,0,NE,1,15.2,1
104,25,Gaidropsarus vulgaris,Other gadoids (small),three-bearded rockling,1,LC,0,3.2,1
105,25,Ciliata septentrionalis,Other gadoids (small),Northern rockling ,1,LC,0,1.5,0
106,25,Gaidropsarus mediterraneus,Other gadoids (small),shore rockling,0,NE,0,3.2,1
107,25,Trisopterus minutus,Other gadoids (small),poor cod,0,NE,1,3,1
108,25,Gadiculus argenteus,Other gadoids (small),silvery pout,0,NE,0,3.2,1
109,25,Raniceps raninus,Other gadoids (small),Tadpole fish ,1,LC,0,3.2,0
110,25,Trisopterus luscus,Other gadoids (small),Bib,0,NE,1,2.8,1
111,25,Enchelyopus cimbrius,Other gadoids (small),four-bearded rockling,1,LC,1,3.5,1
112,25,Ciliata mustela,Other gadoids (small),five-bearded rockling,1,LC,0,1.5,1
113,25,Argentina silus,Other gadoids (small),Greater argentine,0,NE,1,6.9,1
114,26,Lophius piscatorius,Anglerfish (monkfish),Monkfish,1,LC,1,14.6,1
115,27,Chelidonichthys cuculus,Gurnards,red gurnard,1,LC,0,4.4,1
116,27,Chelidonichthys lastoviza,Gurnards,Streaked gurnard,1,LC,0,4.3,0
117,27,Chelidonichthys lucerna,Gurnards,tub gurnard,1,LC,1,3.6,1
118,27,Trigla lyra,Gurnards,Piper,1,LC,0,4.3,0
119,27,Eutrigla gurnardus,Gurnards,grey gurnard,0,NE,0,4.9,1
120,29,Clupea harengus,Adult herring,North sea herring ,1,LC,1,7,1
121,30,Sprattus sprattus,Sprat,sprat,0,NE,1,4.2,1
122,31,Scomber scombrus,Mackerel,Atlantic mackerel,1,LC,1,9.5,1
123,32,Trachurus trachurus,Horse mackerel,horse makerel ,1,VU,1,7,1
124,33,Ammodytes marinus,Sandeels,Sand eel,0,NE,1,6,0
125,33,Gymnammodytes semisquamatus,Sandeels,Smooth sandeel,1,LC,0,4.5,0
126,33,Ammodytes tobianus,Sandeels,Small sandeel ,1,DD,1,4.8,0
127,33,Hyperoplus lanceolatus,Sandeels,Great sandeel,1,LC,0,2.6,0
128,34,Pleuronectes platessa,Plaice ,European plaice,1,LC,1,28.2,1
129,35,Limanda limanda,Dab,Dab,1,LC,1,4.2,1
130,36,Hippoglossoides platessoides,Long-rough dab,Long-rough dab,0,NE,1,18.2,1
131,37,Platichthys flesus,Flounder,Flounder,1,LC,1,12,1
132,38,Solea solea,Sole,Sole,1,DD,1,14.9,1
133,39,Microstomus kitt,Lemon sole,Lemon sole,0,NE,0,5.2,1
134,40,Glyptocephalus cynoglossus,Witch,witch,0,NE,1,16.4,1
135,41,Phrynorhombus norvegicus,Turbot & Brill,Norwegian topknot,1,LC,1,10,0
136,41,Scophthalmus rhombus,Turbot & Brill,brill,0,NE,1,5.5,1
137,41,Psetta maxima,Turbot & Brill,turbot,0,NE,1,14.5,1
138,42,Lepidorhombus whiffiagonis,Megrim,Megrim,0,NE,1,9.2,1
139,43,Reinhardtius hippoglossoides,Halibut,greenland halibut,0,NE,1,19.8,1
140,43,Hippoglossus hippoglossus,Halibut,Halibut,1,EN,1,14.2,1
141,44,Callionymus maculatus,Dragonets,Spotted dragonet,1,LC,1,5,0
142,44,Callionymus reticulatus,Dragonets,Reticulated dragonet,1,LC,0,5,0
143,44,Callionymus lyra,Dragonets,Dragonet,1,LC,1,5,0
144,45,Anarhichas lupus,Catfish (wolf-fish),catfish ,0,NE,1,14.2,1
145,46,Dicentrarchus labrax,Large demersal fish,European seabass,1,LC,1,10.9,1
146,46,Argyrosomus regius,Large demersal fish ,Meagre ,1,LC,0,13.5,0
147,46,Pagellus bogaraveo,Large demersal fish ,Blackspot seabream ,1,NT,0,11,0
148,46,Auxis thazard,Large demersal fish,Frigate tuna,1,LC,0,13.5,0
149,46,Entelurus aequoreus,Large demersal fish ,Snake pipefish ,1,LC,1,2.5,0
150,46,Salmo salar,Large demersal fish,Atlantic salmon,1,LC,1,8.5,1
151,46,Conger conger,Large demersal fish,European conger,1,LC,0,17.9,1
152,46,Deania calcea,Large demersal fish ,Birdbeak dogfish,1,LC,1,32.9,0
153,46,Auxis rochei,Large demersal fish,Bullet tuna ,1,LC,0,9.9,0
154,46,Katsuwonus pelamis,Large demersal fish,Skipjack tuna,1,LC,0,10.9,0
155,46,Beryx decadactylus,Large demersal fish ,Alfonsino,1,LC,0,13.5,0
156,46,Acipenser sturio,Large demersal fish ,Sturgeon ,1,CR,0,18.9,0
157,46,Campogramma glaycos,Large demersal fish ,Vadigo,1,LC,0,13.5,0
