Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61036.87543,0,0,0,0,0,11822.64746,0,476666.9942,22657.72409,23192.1302,0,0,599914.3193,0,213126.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60006.55836,0,0,0,0,0,11786.51685,0,478544.7728,22769.72015,22156.43676,0,0,591032.4422,0,215346.0847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57780.27545,0,0,0,0,0,11686.62506,0,476015.6865,22680.52537,21918.537,0,0,555972.7678,0,99136.06722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57014.35133,0,0,0,0,0,11548.81028,0,472737.1096,22609.59287,22611.49888,0,0,532418.1776,0,86741.83076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53476.05927,0,0,0,0,0,11490.21173,0,468199.854,22618.85037,21587.76483,0,0,516138.0191,0,101309.5717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52824.46512,0,0,0,0,0,11403.68854,0,468065.067,22574.92191,23487.14698,0,0,518857.5185,0,90106.13407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61397.53921,0,0,0,0,0,11575.5767,0,479644.901,22554.12019,24013.99282,0,0,583733.3438,0,66377.63301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63848.46862,0,0,0,0,0,11802.24147,0,487474.438,22713.37148,21061.73634,0,0,594490.1788,0,69504.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61308.86805,0,0,0,0,0,11786.41079,0,488045.8775,22392.98706,19959.37213,0,0,575396.274,0,171875.0892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59327.48322,0,0,0,0,0,11780.19245,0,486557.6959,22436.1017,19381.08843,0,0,565695.7337,0,223106.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57201.41746,0,0,0,0,0,11711.33722,0,484650.203,22521.9281,20028.9056,0,0,561041.9989,0,109151.4478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55886.29531,0,0,0,0,0,11641.72404,0,484621.9684,22688.23657,20722.01656,0,0,552284.4556,0,52384.27779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61591.36068,0,0,0,0,0,11763.80354,0,490540.0908,22843.1762,21410.25487,0,0,538254.8874,0,63619.82956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64126.42617,0,0,0,0,0,11988.73967,0,497172.714,22949.90881,18592.23501,0,0,565630.4313,0,94679.04913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62565.96825,0,0,0,0,0,12041.16544,0,497632.1179,22728.91106,18778.61913,0,0,573260.0007,0,114473.3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
