Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61334.99158,0,0,0,0,0,12103.03934,0,478140.5327,22782.96704,22867.49302,0,0,626016.9793,0,167865.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59605.39352,0,0,0,0,0,12075.25173,0,480342.5165,22871.59519,22370.4589,0,0,622398.906,0,156290.9633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57299.33989,0,0,0,0,0,11989.7128,0,477730.4126,22689.37136,22041.86431,0,0,604863.7837,0,190874.8242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55742.08058,0,0,0,0,0,11860.95658,0,473546.6802,22652.42121,22108.96746,0,0,559115.4467,0,151544.6394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55268.22037,0,0,0,0,0,11715.55794,0,468332.5317,22602.64731,21221.40606,0,0,514875.9315,0,85666.17418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56782.65351,0,0,0,0,0,11679.51028,0,466083.3792,22505.66639,21947.5304,0,0,506383.745,0,87059.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62685.15149,0,0,0,0,0,11809.28782,0,477827.0407,22558.7309,24499.97994,0,0,560607.3075,0,109697.6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62080.90931,0,0,0,0,0,11883.80072,0,487126.2889,22619.1565,24833.03742,0,0,594817.154,0,106816.4273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59428.62259,0,0,0,0,0,11899.82805,0,490766.4193,22623.70628,23752.14866,0,0,612828.0062,0,64506.78502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59177.7389,0,0,0,0,0,11920.09086,0,492452.4095,22696.81366,22885.56143,0,0,621183.9502,0,51052.49425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59750.32286,0,0,0,0,0,11975.09096,0,493015.1082,22813.66947,21225.79674,0,0,584473.973,0,90725.17987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62166.3795,0,0,0,0,0,12079.63627,0,492430.8158,23034.49188,19339.16936,0,0,565038.0667,0,94114.81619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62409.59953,0,0,0,0,0,12073.83991,0,492433.3639,22946.14808,20502.64495,0,0,556327.9261,0,58661.12837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62685.20723,0,0,0,0,0,12140.59219,0,493939.5008,22889.31275,22377.37269,0,0,581375.4488,0,46308.41242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62628.28634,0,0,0,0,0,12144.51263,0,493673.9721,22911.79652,22505.85089,0,0,583114.2773,0,49065.9289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60458.36863,0,0,0,0,0,12049.17019,0,493647.8658,22831.26306,22243.53031,0,0,562410.5831,0,70027.0521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57844.03444,0,0,0,0,0,11899.23154,0,491673.7126,22792.6623,22583.49819,0,0,530090.4148,0,48334.6913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56691.49927,0,0,0,0,0,11815.70899,0,488830.9185,22815.70403,22626.71363,0,0,525295.0216,0,47434.61514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62279.51481,0,0,0,0,0,12020.34919,0,494680.7186,22924.27985,21698.64925,0,0,566559.29,0,46755.82045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61628.22782,0,0,0,0,0,12185.82224,0,495112.5213,23059.46746,21692.01529,0,0,591518.5962,0,51514.36975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60121.00485,0,0,0,0,0,12209.44148,0,493478.6353,22994.95239,21472.83082,0,0,605836.564,0,149425.9373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59312.97984,0,0,0,0,0,12177.913,0,491874.888,22804.08241,22156.27553,0,0,601350.0733,0,562522.6133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58187.83269,0,0,0,0,0,12132.44247,0,491762.1545,22772.3112,22178.20743,0,0,580336.0372,0,542188.3568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58595.18866,0,0,0,0,0,12159.32022,0,490022.5722,22854.79265,19487.53772,0,0,562132.3639,0,209107.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61255.09687,0,0,0,0,0,12118.3722,0,488313.5959,22664.68129,19268.13146,0,0,535480.8654,0,1280146.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62555.47716,0,0,0,0,0,12165.57262,0,488905.3508,22939.16748,18306.6984,0,0,525560.2911,0,1220247.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60420.46341,0,0,0,0,0,12160.9051,0,487524.6751,23087.57477,19224.00469,0,0,537327.8895,0,453741.5944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60711.06331,0,0,0,0,0,12135.27604,0,484850.2735,23101.76229,17364.32734,0,0,555351.5387,0,124599.7352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60664.84991,0,0,0,0,0,12076.23953,0,484095.018,23220.30104,17186.08028,0,0,563172.3425,0,85916.89183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61453.58932,0,0,0,0,0,12225.94592,0,488002.5064,23310.38786,16043.73495,0,0,590650.6909,0,79398.50829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60217.90533,0,0,0,0,0,12324.02891,0,488935.7989,23288.39701,16107.71835,0,0,583182.074,0,56180.97813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
